symbol,name,sector,market_value,index_weight,amount_shares,isin,country
KO,COCA-COLA,Consumer Staples,62251787.57,0.34576,1056727,US1912161007,United States
PEP,PEPSICO INC,Consumer Staples,60844730.38,0.33794,353194,US7134481081,United States
SHEL,SHELL PLC,Energy,60772311.5,0.33754,1718485,GB00BP6MXD84,United Kingdom
MC,LVMH,Consumer Discretionary,60255676.13,0.33467,70970,FR0000121014,France
LIN,LINDE PLC,Materials,56205537.0,0.31218,125900,IE000S9YS762,United States
WFC,WELLS FARGO,Financials,55968176.88,0.31086,952812,US9497461015,United States
ADBE,ADOBE INC,Information Technology,55755745.76,0.30968,117832,US00724F1012,United States
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,54312289.92,0.30166,100296,US8835561023,United States
AZN,ASTRAZENECA PLC,Health Care,53771503.62,0.29866,395873,GB0009895292,United Kingdom
DIS,WALT DISNEY,Communication,53339715.18,0.29626,474426,US2546871060,United States
ACN,ACCENTURE PLC CLASS A,Information Technology,51808516.0,0.28775,163951,IE00B4BNMY34,United States
MCD,MCDONALDS CORP,Consumer Discretionary,51394337.78,0.28545,189661,US5801351017,United States
CSCO,CISCO SYSTEMS INC,Information Technology,50885369.68,0.28263,1057688,US17275R1023,United States
ORCL,ORACLE CORP,Information Technology,49562044.0,0.27528,427259,US68389X1054,United States
NOVN,NOVARTIS AG,Health Care,49090450.3,0.27266,529761,CH0012005267,Switzerland
SAP,SAP,Information Technology,48531140.21,0.26955,269214,DE0007164600,Germany
ABT,ABBOTT LABORATORIES,Health Care,47289599.94,0.26266,449222,US0028241000,United States
CAT,CATERPILLAR INC,Industrials,47005873.11,0.26108,131327,US1491231015,United States
QCOM,QUALCOMM INC,Information Technology,46816954.24,0.26003,289996,US7475251036,United States
INTU,INTUIT INC,Information Technology,44316832.72,0.24614,72844,US4612021034,United States
ROG,ROCHE HOLDING PAR AG,Health Care,44191031.69,0.24545,183212,CH0012032048,Switzerland
VZ,VERIZON COMMUNICATIONS INC,Communication,43696433.36,0.2427,1088872,US92343V1044,United States
