symbol,name,sector,market_value,index_weight,amount_shares,isin,country
NPN,NASPERS LIMITED N LTD,Consumer Discretionary,74259838.42,0.43985,439228,ZAE000325783,South Africa
1180,THE SAUDI NATIONAL BANK,Financials,70552195.27,0.41789,7020037,SA13L050IE10,Saudi Arabia
9618,JD.COM CLASS A INC,Consumer Discretionary,70163914.19,0.41559,5604204,KYG8208B1014,China
ITUB4,ITAU UNIBANCO HOLDING PREF SA,Financials,70046583.6,0.4149,11586716,BRITUBACNPR1,Brazil
AXISBANK,AXIS BANK LTD,Financials,69583169.37,0.41215,5677161,INE238A01034,India
PETR3,PETROLEO BRASILEIRO SA PETROBRAS,Energy,69382156.89,0.41096,8871113,BRPETRACNOR9,Brazil
LT,LARSEN AND TOUBRO LTD,Industrials,68628599.73,0.4065,1614684,INE018A01030,India
1211,BYD LTD H,Consumer Discretionary,65345187.1,0.38705,2491500,CNE100000296,China
9961,TRIP.COM GROUP LTD,Consumer Discretionary,64659253.61,0.38299,1315962,KYG9066F1019,China
9888,BAIDU CLASS A INC,Communication,64370446.34,0.38128,5388780,KYG070341048,China
2318,PING AN INSURANCE (GROUP) CO OF CH,Financials,63761860.68,0.37767,15903000,CNE1000003X6,China
GFNORTEO,GPO FINANCE BANORTE,Financials,63518566.6,0.37623,6218412,MXP370711014,Mexico
KOTAKBANK,KOTAK MAHINDRA BANK LTD,Financials,55975626.51,0.33155,2617352,INE237A01028,India
005380,HYUNDAI MOTOR,Consumer Discretionary,55218245.38,0.32707,328190,KR7005380001,Korea (South)
BBRI,BANK RAKYAT INDONESIA (PERSERO),Financials,55124164.38,0.32651,162855408,ID1000118201,Indonesia
FEMSAUBD,FOMENTO ECONOMICO MEXICANO,Consumer Staples,55122759.39,0.3265,4643672,MXP320321310,Mexico
BAJFINANCE,BAJAJ FINANCE LTD,Financials,54683887.51,0.3239,662774,INE296A01024,India
M&M,MAHINDRA AND MAHINDRA LTD,Consumer Discretionary,54326090.69,0.32178,2241409,INE101A01026,India
KFH,KUWAIT FINANCE HOUSE,Financials,52841709.58,0.31299,22401396,KW0EQ0100085,Kuwait
HINDUNILVR,HINDUSTAN UNILEVER LTD,Consumer Staples,51927448.52,0.30758,1958797,INE030A01027,India
NBK,NATIONAL BANK OF KUWAIT,Financials,51534142.98,0.30525,18707683,KW0EQ0100010,Kuwait
000270,KIA CORPORATION CORP,Consumer Discretionary,50858116.03,0.30124,622332,KR7000270009,Korea (South)
2382,QUANTA COMPUTER INC,Information Technology,50556151.55,0.29945,6528000,TW0002382009,Taiwan
7010,SAUDI TELECOM,Communication,50071875.4,0.29658,4785468,SA0007879543,Saudi Arabia
2222,SAUDI ARABIAN OIL,Energy,50060062.25,0.29651,6280445,SA14TG012N13,Saudi Arabia
MARUTI,MARUTI SUZUKI INDIA LTD,Consumer Discretionary,49780507.56,0.29486,335266,INE585B01010,India
005490,POSCO,Materials,48733595.54,0.28866,171561,KR7005490008,Korea (South)
068270,CELLTRION INC,Health Care,47133018.25,0.27918,365394,KR7068270008,Korea (South)
857,PETROCHINA LTD H,Energy,47107916.06,0.27903,50400000,CNE1000003W8,China
2010,SAUDI BASIC INDUSTRIES,Materials,46209768.58,0.27371,2142671,SA0007879121,Saudi Arabia
WALMEX*,WALMART DE MEXICO V,Consumer Staples,45899390.35,0.27187,12429600,MX01WA000038,Mexico
1211,SAUDI ARABIAN MINING,Materials,45816721.32,0.27138,3124867,SA123GA0ITH7,Saudi Arabia
TATAMOTORS,TATA MOTORS LTD,Consumer Discretionary,45782402.35,0.27118,3937765,INE155A01022,India
GMEXICOB,GRUPO MEXICO B,Materials,45512436.72,0.26958,7501388,MXP370841019,Mexico
2308,DELTA ELECTRONICS INC,Information Technology,44574794.02,0.26402,4666000,TW0002308004,Taiwan
NTPC,NTPC LTD,Utilities,43679228.91,0.25872,10392242,INE733E01010,India
105560,KB FINANCIAL GROUP INC,Financials,42712629.01,0.25299,916286,KR7105560007,Korea (South)
QNBK,QATAR NATIONAL BANK,Financials,42542937.46,0.25199,10985733,QA0006929895,Qatar
600519,KWEICHOW MOUTAI LTD A,Consumer Staples,42511369.88,0.2518,184487,CNE0000018R8,China
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD,Health Care,41768285.9,0.2474,2301229,INE044A01036,India
2303,UNITED MICRO ELECTRONICS CORP,Information Technology,41736204.42,0.24721,26892000,TW0002303005,Taiwan
2891,CTBC FINANCIAL HOLDING LTD,Financials,41282152.77,0.24452,42122772,TW0002891009,Taiwan
EAND,EMIRATES TELECOM,Communication,41219956.17,0.24415,8335919,AEE000401019,United Arab Emirates
035420,NAVER CORP,Communication,40914312.61,0.24234,310865,KR7035420009,Korea (South)
2015,LI AUTO CLASS A INC,Consumer Discretionary,40336078.04,0.23892,2751690,KYG5479M1050,China
AMXB,AMERICA MOVIL B,Communication,39634966.05,0.23476,44829350,MX01AM050019,Mexico
HCLTECH,HCL TECHNOLOGIES LTD,Information Technology,39591663.48,0.23451,2254992,INE860A01027,India
006400,SAMSUNG SDI LTD,Information Technology,38918785.1,0.23052,131772,KR7006400006,Korea (South)
3968,CHINA MERCHANTS BANK LTD H,Financials,38411259.27,0.22752,9213467,CNE1000002M1,China
SBIN,STATE BANK OF INDIA,Financials,38109520.6,0.22573,4274849,INE062A01020,India
2881,FUBON FINANCIAL HOLDING LTD,Financials,37930665.47,0.22467,18505073,TW0002881000,Taiwan
GFI,GOLD FIELDS LTD,Materials,37885275.94,0.2244,2139230,ZAE000018123,South Africa
FSR,FIRSTRAND LTD,Financials,37657577.44,0.22305,12082700,ZAE000066304,South Africa
BMRI,BANK MANDIRI (PERSERO),Financials,37339083.77,0.22117,88817600,ID1000095003,Indonesia
POWERGRID,POWER GRID CORPORATION OF INDIA LT,Utilities,37137998.73,0.21997,11077260,INE752E01010,India
FAB,FIRST ABU DHABI BANK,Financials,36757490.25,0.21772,10497036,AEN000101016,United Arab Emirates
YUMC,YUM CHINA HOLDINGS INC,Consumer Discretionary,36226226.0,0.21457,973300,US98850P1093,China
EMAAR,EMAAR PROPERTIES,Real Estate,36141889.22,0.21407,15839032,AEE000301011,United Arab Emirates
ITC,ITC LTD,Consumer Staples,35898033.79,0.21263,7160430,INE154A01025,India
TITAN,TITAN COMPANY LTD,Consumer Discretionary,35879829.28,0.21252,850366,INE280A01028,India
2412,CHUNGHWA TELECOM LTD,Communication,34764738.22,0.20592,9068410,TW0002412004,Taiwan
3711,ASE TECHNOLOGY HOLDING LTD,Information Technology,34625639.12,0.20509,7417110,TW0003711008,Taiwan
386,CHINA PETROLEUM AND CHEMICAL CORP,Energy,34385191.18,0.20367,58796800,CNE1000002Q2,China
TATASTEEL,TATA STEEL LTD,Materials,33745098.42,0.19988,17614973,INE081A01020,India
2882,CATHAY FINANCIAL HOLDING LTD,Financials,33648600.27,0.19931,22464000,TW0002882008,Taiwan
BBDC4,BANCO BRADESCO PREF SA,Financials,33491123.98,0.19837,12765542,BRBBDCACNPR8,Brazil
1088,CHINA SHENHUA ENERGY LTD H,Energy,33349068.83,0.19753,7987000,CNE1000002R0,China
2886,MEGA FINANCIAL HOLDING LTD,Financials,33345965.28,0.19751,27515100,TW0002886009,Taiwan
2020,ANTA SPORTS PRODUCTS LTD,Consumer Discretionary,32745399.05,0.19396,3018802,KYG040111059,China
1024,KUAISHOU TECHNOLOGY,Communication,32681125.7,0.19358,5582200,KYG532631028,China
051910,LG CHEM LTD,Materials,32412138.1,0.19198,117570,KR7051910008,Korea (South)
ZOMATO,ZOMATO LTD,Consumer Discretionary,32366350.8,0.19171,14600903,INE758T01015,India
PBLOF,PUBLIC BANK,Financials,31578372.53,0.18704,36486750,MYL1295OO004,Malaysia
055550,SHINHAN FINANCIAL GROUP LTD,Financials,31489195.09,0.18652,1031816,KR7055550008,Korea (South)
ULTRACEMCO,ULTRATECH CEMENT LTD,Materials,31018259.39,0.18373,276194,INE481G01011,India
ASIANPAINT,ASIAN PAINTS LTD,Materials,30845422.36,0.1827,917840,INE021A01026,India
JIOFIN,JIO FINANCIAL SERVICES LTD,Financials,30790519.59,0.18238,6798183,INE758E01017,India
373220,LG ENERGY SOLUTION LTD,Industrials,30768219.53,0.18225,112051,KR7373220003,Korea (South)
