symbol,name,sector,market_value,index_weight,amount_shares,isin,country
1928,SEKISUI HOUSE LTD,Consumer Discretionary,14395853.19,0.04104,661700,JP3420600003,Japan
NN,NN GROUP NV,Financials,14294889.5,0.04075,314254,NL0010773842,Netherlands
FRE,FRESENIUS SE AND CO KGAA,Health Care,14257462.52,0.04064,502078,DE0005785604,Germany
TFII,TFI INTERNATIONAL INC,Industrials,14058036.13,0.04007,99116,CA87241L1094,Canada
PBLOF,PUBLIC BANK,Financials,14034716.84,0.04001,16216200,MYL1295OO004,Malaysia
BESI,BE SEMICONDUCTOR INDUSTRIES NV,Information Technology,14012782.04,0.03994,94917,NL0012866412,Netherlands
1,CK HUTCHISON HOLDINGS LTD,Industrials,13999942.03,0.03991,3066888,KYG217651051,Hong Kong
MRU,METRO INC,Consumer Staples,13990219.91,0.03988,275075,CA59162N1096,Canada
7832,BANDAI NAMCO HOLDINGS INC,Consumer Discretionary,13980542.6,0.03985,746200,JP3778630008,Japan
ANTO,ANTOFAGASTA PLC,Materials,13946070.46,0.03975,494952,GB0000456144,United Kingdom
ARX,ARC RESOURCES LTD,Energy,13940486.61,0.03974,767955,CA00208D4084,Canada
LISN,CHOCOLADEFABRIKEN LINDT & SPRUENGL,Consumer Staples,13876329.35,0.03956,121,CH0010570759,Switzerland
LUMI,BANK LEUMI LE ISRAEL,Financials,13788214.81,0.0393,1848108,IL0006046119,Israel
086790,HANA FINANCIAL GROUP INC,Financials,13773264.14,0.03926,353458,KR7086790003,Korea (South)
2082,ACWA POWER CO,Utilities,13727776.82,0.03913,118001,SA15CGS10H12,Saudi Arabia
NESTE,NESTE,Energy,13714090.1,0.03909,498854,FI0009013296,Finland
035720,KAKAO CORP,Communication,13709197.79,0.03908,383341,KR7035720002,Korea (South)
4507,SHIONOGI LTD,Health Care,13679650.77,0.039,296000,JP3347200002,Japan
7309,SHIMANO INC,Consumer Discretionary,13671152.79,0.03897,88300,JP3358000002,Japan
XRO,XERO LTD,Information Technology,13650051.46,0.03891,178072,NZXROE0001S2,Australia
EDP,EDP ENERGIAS DE PORTUGAL SA,Utilities,13640823.42,0.03888,3515012,PTEDP0AM0009,Portugal
BEL,BHARAT ELECTRONICS LTD,Industrials,13562902.72,0.03866,4902140,INE263A01024,India
NST,NORTHERN STAR RESOURCES LTD,Materials,13536630.03,0.03859,1375112,AU000000NST8,Australia
KPN,KONINKLIJKE KPN NV,Communication,13474432.68,0.03841,3742385,NL0000009082,Netherlands
ALFA,ALFA LAVAL,Industrials,13426252.86,0.03827,348767,SE0000695876,Sweden
9843,NITORI HOLDINGS LTD,Consumer Discretionary,13350033.95,0.03806,95700,JP3756100008,Japan
SBK,STANDARD BANK GROUP,Financials,13327432.84,0.03799,1524059,ZAE000109815,South Africa
8113,UNICHARM CORP,Consumer Staples,13280087.95,0.03786,454400,JP3951600000,Japan
BNR,BRENNTAG,Industrials,13218257.5,0.03768,164306,DE000A1DAHH0,Germany
MRO,MELROSE INDUSTRIES PLC,Industrials,13185270.37,0.03759,1680052,GB00BNGDN821,United Kingdom
BIRG,BANK OF IRELAND GROUP PLC,Financials,13180000.02,0.03757,1234451,IE00BD1RP616,Ireland
SK3,SMURFIT KAPPA GROUP PLC,Materials,13101587.66,0.03735,301363,IE00B1RR8406,Ireland
MAYBANK,MALAYAN BANKING,Financials,13088411.21,0.03731,6474500,MYL1155OO000,Malaysia
9633,NONGFU SPRING LTD H,Consumer Staples,13072048.32,0.03726,2380800,CNE100004272,China
LISP,CHOCOLADEFABRIKEN LINDT & SPRUENGL,Consumer Staples,13027694.33,0.03714,1136,CH0010570767,Switzerland
ORG,ORIGIN ENERGY LTD,Utilities,13020075.56,0.03711,2058633,AU000000ORG5,Australia
POLI,BANK HAPOALIM BM,Financials,12959028.55,0.03694,1506934,IL0006625771,Israel
BAER,JULIUS BAER GRUPPE AG,Financials,12949794.42,0.03691,243989,CH0102484968,Switzerland
012330,HYUNDAI MOBIS LTD,Consumer Discretionary,12928038.17,0.03685,75530,KR7012330007,Korea (South)
1010,RIYAD BANK,Financials,12901070.78,0.03678,1725294,SA0007879048,Saudi Arabia
WPP,WPP PLC,Communication,12791017.54,0.03646,1332334,JE00B8KF9B49,United Kingdom
TRN,TERNA RETE ELETTRICA NAZIONALE,Utilities,12767161.73,0.03639,1649017,IT0003242622,Italy
HLMA,HALMA PLC,Information Technology,12717098.15,0.03625,464465,GB0004052071,United Kingdom
ORSTED,OERSTED,Utilities,12707000.25,0.03622,228509,DK0060094928,Denmark
BAP,CREDICORP LTD,Financials,12687830.64,0.03617,78378,BMG2519Y1084,Peru
OTP,OTP BANK,Financials,12671292.41,0.03612,274882,HU0000061726,Hungary
SCG,SCENTRE GROUP,Real Estate,12608807.4,0.03594,6221318,AU000000SCG8,Australia
