symbol,name,sector,market_value,index_weight,amount_shares,isin,country
000629,PANGANG GROUP VANADIUM TITANIUM&RE,Materials,2525013.44,0.00337,5812100,CNE0000007H2,China
SPTOTO,BERJAYA SPORTS TOTO,Consumer Discretionary,2514925.63,0.00336,8781129,MYL1562OO007,Malaysia
600418,ANHUI JIANGHUAI AUTOMOBILE CORP LT,Consumer Discretionary,2511681.63,0.00335,1142500,CNE0000018M9,China
600583,OFFSHORE OIL ENGINEERING LTD A,Energy,2511890.99,0.00335,2793400,CNE0000019T2,China
9996,PEIJIA MEDICAL LTD,Health Care,2508216.13,0.00335,5367000,KYG6981F1090,China
THANI.R,RATCHTHANI LEASING NON-VOTING DR P,Financials,2506864.95,0.00335,39728947,TH0697010R11,Thailand
UEMS,UEM SUNRISE,Real Estate,2499324.55,0.00334,11607300,MYL5148OO001,Malaysia
600705,AVIC INDUSTRY-FINANCE HOLDINGS LTD,Financials,2496726.65,0.00333,6014291,CNE000000KC1,China
CWENE.E,CW ENERJI MUHENDISLIK TICARET VE S,Industrials,2494098.44,0.00333,278760,TRECWEN00012,Turkey
1119,IDREAMSKY TECHNOLOGY HOLDINGS LTD,Communication,2498049.56,0.00333,8220000,KYG470811079,China
MAHSEAMLES,MAHARASHTRA SEAMLESS LTD,Materials,2496363.99,0.00333,241405,INE271B01025,India
034310,NICE HOLDINGS LTD,Financials,2485022.0,0.00332,271641,KR7034310003,Korea (South)
009520,POSCO M-TECH LTD,Materials,2484239.53,0.00332,173046,KR7009520008,Korea (South)
STGT.R,SRI TRANG GLOVES (THAILAND) PCL NO,Health Care,2487318.42,0.00332,10887200,TH9829010R11,Thailand
SARDAEN,SARDA ENERGY AND MINERALS LTD,Materials,2480700.77,0.00331,934415,INE385C01021,India
2158,YIDU TECH INC,Health Care,2479381.48,0.00331,5711000,KYG9845C1069,China
BTCIM.E,BATICIM BATI ANADOLU CIMENTO SANAY,Materials,2473760.61,0.0033,592836,TRABTCIM91F5,Turkey
KONYA.E,KONYA CIMENTO SANAYII A,Materials,2470589.76,0.0033,6827,TRAKONYA91F6,Turkey
393890,W-SCOPE CHUNGJU PLANT LTD (PROPOSE,Industrials,2472265.71,0.0033,108444,KR7393890009,Korea (South)
AKFYE.E,AKFEN YENILENEBILIR ENERJI A.S.,Utilities,2461631.62,0.00329,3064920,TREAKFY00015,Turkey
002350,NEXEN TIRE CORP,Consumer Discretionary,2463593.79,0.00329,370470,KR7002350007,Korea (South)
300144,SONGCHENG PERFORMANCE DEVELOPMENT,Consumer Discretionary,2460464.74,0.00328,1720356,CNE100000XG4,China
300003,LEPU MEDICAL TECHNOLOGY BEIJING LT,Health Care,2451179.12,0.00327,1313582,CNE100000H44,China
3617,CYBERPOWER SYSTEMS INC,Industrials,2438360.82,0.00325,330000,TW0003617007,Taiwan
005250,GREEN CROSS HOLDINGS,Health Care,2437118.41,0.00325,215318,KR7005250006,Korea (South)
600487,HENGTONG OPTIC ELECTRIC LTD A,Information Technology,2433026.6,0.00325,1327400,CNE000001FQ9,China
178920,PI ADVANCED MATERIALS LTD,Materials,2434305.41,0.00325,177681,KR7178920005,Korea (South)
300390,CANMAX TECHNOLOGIES LTD A,Materials,2424806.54,0.00324,894280,CNE100001XM0,China
1860,MOBVISTA INC,Communication,2431488.02,0.00324,7213000,KYG622681008,China
002385,BEIJING DABEINONG TECHNOLOGY GROUP,Consumer Staples,2419223.8,0.00323,3872200,CNE100000N61,China
002240,CHENGXIN LITHIUM GROUP LTD A,Materials,2410277.63,0.00322,919800,CNE100000BN6,China
1866,CHINA XLX FERTILISER LTD,Materials,2402091.54,0.00321,5154000,SG1V07936171,China
CBAV3,COMPANHIA BRASILEIRA DE ALUMINIO,Materials,2392039.57,0.00319,2521056,BRCBAVACNOR5,Brazil
9526,JAHEZ INTERNATIONAL,Consumer Discretionary,2390918.77,0.00319,262630,SA15ED94KR18,Saudi Arabia
000070,SAMYANG HOLDINGS CORP,Consumer Staples,2386957.65,0.00319,48695,KR7000070003,Korea (South)
1458,ZHOU HEI YA INTERNATIONAL HOLDINGS,Consumer Staples,2381808.2,0.00318,10972500,KYG989761062,China
ANANTRAJ,ANANT RAJ LTD,Real Estate,2370443.71,0.00316,592673,INE242C01024,India
005880,KOREA LINE CORP,Industrials,2368907.85,0.00316,1803878,KR7005880000,Korea (South)
002821,ASYMCHEM LABORATORIES (TIANJIN) LT,Health Care,2363319.59,0.00315,218540,CNE100002BZ6,China
000988,HUAGONG TECH LTD A,Information Technology,2362464.17,0.00315,526900,CNE000001303,China
MARKSANS,MARKSANS PHARMA LTD,Health Care,2356857.04,0.00315,1155216,INE750C01026,India
002568,SHANGHAI BAIRUN INVESTMENT HOLDING,Consumer Staples,2358962.45,0.00315,887604,CNE1000011K6,China
000733,CHINA ZHENHUA (GROUP) SCIENCE & TE,Information Technology,2353187.14,0.00314,336600,CNE000000RY0,China
GPIL,GODAWARI POWER AND ISPAT LTD,Materials,2347180.64,0.00313,232578,INE177H01021,India
060280,CUREXO INC,Consumer Staples,2339109.28,0.00312,265851,KR7060280005,Korea (South)
600460,HANGZHOU SILAN MICROELECTRONICS LT,Information Technology,2338693.37,0.00312,903900,CNE000001DN1,China
2704,THE AMBASSADOR HOTEL LTD,Consumer Discretionary,2329529.61,0.00311,1021000,TW0002704004,Taiwan
ARZAN,ARZAN INVESTMENT AND FINANCIAL,Financials,2324029.73,0.0031,3789767,KW0EQ0200331,Kuwait
1305,CHINA GENERAL PLASTICS CORP,Materials,2323290.9,0.0031,4140386,TW0001305001,Taiwan
3016,EPISIL-PRECISION INC,Information Technology,2325501.61,0.0031,1229077,TW0003016002,Taiwan
688728,GALAXYCORE INC A,Information Technology,2316465.72,0.00309,1074600,CNE100004PM0,China
BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR,Industrials,2309979.28,0.00308,461282900,ID1000114101,Indonesia
