symbol,name,sector,market_value,index_weight,amount_shares,isin,country
INTUCH.R,INTOUCH HOLDINGS NON-VOTING DR PCL,Communication,4129903.79,0.03261,2274850,TH0201010R12,Thailand
MOH,MOTOR OIL (HELLAS) CORINTH REFINER,Energy,4101876.79,0.03238,147379,GRS426003000,Greece
016360,SAMSUNG SECURITIES LTD,Financials,4081075.06,0.03222,155642,KR7016360000,Korea (South)
EREGL.E,EREGLI DEMIR VE CELIK FABRIKALARI,Materials,4076911.75,0.03219,3276097,TRAEREGL91G3,Turkey
271560,ORION CORP,Consumer Staples,4007299.9,0.03164,60327,KR7271560005,Korea (South)
4004,DALLAH HEALTHCARE,Health Care,3999796.71,0.03158,88363,SA135G51UI10,Saudi Arabia
ENELCHILE,ENEL CHILE SA,Utilities,3993204.76,0.03153,67832179,CL0002266774,Chile
AMBANK,AMMB HOLDINGS,Financials,3947355.91,0.03116,4528100,MYL1015OO006,Malaysia
GBK,GULF BANK,Financials,3928389.92,0.03102,4621106,KW0EQ0100028,Kuwait
128940,HANMI PHARM LTD,Health Care,3929314.25,0.03102,17072,KR7128940004,Korea (South)
011790,SKC LTD,Materials,3926809.35,0.031,47417,KR7011790003,Korea (South)
022100,POSCO DX COMPANY LTD,Information Technology,3922349.25,0.03097,134294,KR7022100002,Korea (South)
KTB.R,KRUNG THAI BANK PUBLIC NON-VOTING,Financials,3901537.5,0.0308,8800600,TH0150010R11,Thailand
SASA.E,SASA POLYESTER SANAYI A,Materials,3848306.99,0.03038,3200013,TRASASAW91E4,Turkey
EGIE3,ENGIE BRASIL ENERGIA SA,Utilities,3838666.03,0.03031,498827,BREGIEACNOR9,Brazil
APPC,ADVANCED PETROCHEMICAL,Materials,3837033.43,0.03029,331647,SA000A0LE310,Saudi Arabia
OR.R,PTT OIL AND RETAIL BUSINESS PCL NO,Consumer Discretionary,3829424.63,0.03023,7693900,THA099010R13,Thailand
SIME,SIME DARBY,Industrials,3821192.85,0.03017,6598800,MYL4197OO009,Malaysia
CCOLA.E,COCA-COLA ICECEK A,Consumer Staples,3768848.57,0.02976,184867,TRECOLA00011,Turkey
7030,MOBILE TELECOMMUNICATIONS,Communication,3744155.44,0.02956,1136333,SA121053DR18,Saudi Arabia
NESTLE,NESTLE MALAYSIA,Consumer Staples,3738726.87,0.02952,145400,MYL4707OO005,Malaysia
JGS,JG SUMMIT HOLDINGS  INC,Industrials,3716213.88,0.02934,6944280,PHY444251177,Philippines
4164,AL NAHDI MEDICAL,Consumer Staples,3712280.12,0.02931,99326,SA15HG521213,Saudi Arabia
CPFE3,CPFL ENERGIA SA,Utilities,3698526.87,0.0292,559265,BRCPFEACNOR0,Brazil
MYPRF,MALAYSIA AIRPORTS HOLDINGS,Industrials,3688395.53,0.02912,1764344,MYL5014OO005,Malaysia
SITES1A.1,OPERADORA DE SITES MEXICANOSD,Communication,3664327.25,0.02893,3154875,MX01SI0C0002,Mexico
AXIATA,AXIATA GROUP,Communication,3653214.17,0.02884,6853000,MYL6888OO001,Malaysia
INKP,INDAH KIAT PULP & PAPER,Materials,3649221.33,0.02881,6116700,ID1000062201,Indonesia
042660,HANWHA OCEAN LTD,Industrials,3629686.66,0.02866,149651,KR7042660001,Korea (South)
ICBP,INDOFOOD CBP SUKSES MAKMUR,Consumer Staples,3626196.6,0.02863,5807300,ID1000116700,Indonesia
URC,UNIVERSAL ROBINA CORP,Consumer Staples,3625862.31,0.02863,2229340,PHY9297P1004,Philippines
EA.R,ENERGY ABSOLUTE NON-VOTING DR PCL,Utilities,3619789.9,0.02858,4258900,TH3545010R19,Thailand
078930,GS HOLDINGS,Industrials,3609372.01,0.0285,117151,KR7078930005,Korea (South)
LH.R,LAND AND HOUSE PUBLIC NON-VOTING D,Real Estate,3597766.78,0.0284,17997400,TH0143010R16,Thailand
PGE,PGE POLSKA GRUPA ENERGETYCZNA SA,Utilities,3557710.22,0.02809,2362962,PLPGER000010,Poland
QL,QL RESOURCES,Consumer Staples,3551856.59,0.02804,2692600,MYL7084OO006,Malaysia
MYTEF,TELEKOM MALAYSIA,Communication,3549094.39,0.02802,2787700,MYL4863OO006,Malaysia
MONET,MONETA MONEY BNK,Financials,3459717.42,0.02731,805550,CZ0008040318,Czech Republic
011170,LOTTE CHEMICAL CORP,Materials,3411959.79,0.02694,46751,KR7011170008,Korea (South)
011780,KUMHO PETRO CHEMICAL LTD,Materials,3399772.75,0.02684,39490,KR7011780004,Korea (South)
BANDHANBNK,BANDHAN BANK LTD,Financials,3383764.37,0.02672,1631280,INE545U01014,India
CRFB3,ATACADAO CARREFOUR SA,Consumer Staples,3355003.37,0.02649,1562473,BRCRFBACNOR2,Brazil
BTS.R,BTS GROUP HOLDINGS NON-VOTING DR P,Industrials,3342519.62,0.02639,20146900,TH0221010R10,Thailand
032640,LG UPLUS CORP,Communication,3335124.69,0.02633,473033,KR7032640005,Korea (South)
2083,POWER AND WATER UTILITY COMPANY FO,Utilities,3313969.93,0.02616,188354,SA15L0N10HH3,Saudi Arabia
030200,KT CORP,Communication,3281349.87,0.02591,133882,KR7030200000,Korea (South)
ENEV3,ENEVA SA,Utilities,3233203.48,0.02553,1388690,BRENEVACNOR8,Brazil
AUBANK,AU SMALL FINANCE BANK LTD,Financials,3215933.27,0.02539,432586,INE949L01017,India
051915,LG CHEM PREFERRED STOCK LTD,Materials,3200491.64,0.02527,17754,KR7051911006,Korea (South)
006800,DAEWOO SECURITIES,Financials,3149686.73,0.02487,593191,KR7006800007,Korea (South)
361610,SK IE TECHNOLOGY LTD,Industrials,3133196.11,0.02474,70752,KR7361610009,Korea (South)
PETDAG,PETRONAS DAGANGAN,Energy,3112658.1,0.02457,683000,MYL5681OO001,Malaysia
PGSUS.E,PEGASUS HAVA TASIMACILIGI A,Industrials,3037517.46,0.02398,112939,TREPEGS00016,Turkey
068760,CELLTRION PHARM INC,Health Care,3034015.3,0.02395,45327,KR7068760008,Korea (South)
KTC.R,KRUNGTHAI CARD NON-VOTING DR PCL,Financials,3005175.77,0.02373,2511200,TH0689010R18,Thailand
COMI,COMMERCIAL INTERNATIONAL BANK EGYP,Financials,2930706.32,0.02314,1773810,EGS60121C018,Egypt
SCGP.R,SCG PACKAGING PCL NON-VOTING DR,Materials,2931353.78,0.02314,3394600,TH0098010R12,Thailand
8046,NAN YA PRINTED CIRCUIT BOARD CORP,Information Technology,2927486.05,0.02311,529000,TW0008046004,Taiwan
005940,NH INVESTMENT & SECURITIES LTD,Financials,2889418.29,0.02281,349826,KR7005940002,Korea (South)
SMGR,SEMEN INDONESIA (PERSERO),Materials,2828115.18,0.02233,8550423,ID1000106800,Indonesia
AEV,ABOITIZ EQUITY VENTURES PHP1 INC,Industrials,2825945.23,0.02231,4044780,PHY0001Z1040,Philippines
