symbol,name,sector,market_value,index_weight,amount_shares,isin,country
DTE,DEUTSCHE TELEKOM N AG,Communication,426304208.76,0.38204,19096851,DE0005557508,Germany
BNP,BNP PARIBAS SA,Financials,424465911.66,0.38039,6085454,FR0000131104,France
8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Financials,416894266.13,0.37361,7484300,JP3890350006,Japan
ZURN,ZURICH INSURANCE GROUP AG,Financials,415370904.51,0.37224,855214,CH0011075394,Switzerland
1299,AIA GROUP LTD,Financials,411958894.47,0.36918,67424800,HK0000069689,Hong Kong
NAB,NATIONAL AUSTRALIA BANK LTD,Financials,394256399.7,0.35332,18318992,AU000000NAB4,Australia
CS,AXA SA,Financials,385866739.12,0.3458,10707545,FR0000120628,France
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA SA,Financials,382287338.95,0.34259,34430899,ES0113211835,Spain
EL,ESSILORLUXOTTICA SA,Health Care,377550844.88,0.33835,1730947,FR0000121667,France
MBG,MERCEDES-BENZ GROUP N AG,Consumer Discretionary,377344701.17,0.33816,4733744,DE0007100000,Germany
GLEN,GLENCORE PLC,Materials,363632512.9,0.32588,61511561,JE00B4T3BW64,United Kingdom
DG,VINCI SA,Industrials,359427489.06,0.32211,2970642,FR0000125486,France
8031,MITSUI LTD,Industrials,354171480.68,0.3174,7644300,JP3893600001,Japan
MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,Financials,353877858.41,0.31713,804136,DE0008430026,Germany
6098,RECRUIT HOLDINGS LTD,Industrials,347148774.13,0.3111,8504100,JP3970300004,Japan
UCG,UNICREDIT,Financials,341203497.52,0.30578,9128093,IT0005239360,Italy
WBC,WESTPAC BANKING CORPORATION CORP,Financials,340619915.87,0.30525,20575443,AU000000WBC1,Australia
STLAM,STELLANTIS NV,Consumer Discretionary,337571430.77,0.30252,13010467,NL00150001Q9,Italy
BATS,BRITISH AMERICAN TOBACCO,Consumer Staples,337235800.48,0.30222,11817273,GB0002875804,United Kingdom
ANZ,ANZ GROUP HOLDINGS LTD,Financials,323211315.36,0.28965,17589249,AU000000ANZ3,Australia
8766,TOKIO MARINE HOLDINGS INC,Financials,321487987.07,0.28811,10640000,JP3910660004,Japan
