symbol,name,sector,market_value,index_weight,amount_shares,isin,country
ALFA,ALFA LAVAL,Industrials,34956100.68,0.06833,908037,SE0000695876,Sweden
LISP,CHOCOLADEFABRIKEN LINDT & SPRUENGL,Consumer Staples,34920184.19,0.06826,3045,CH0010570767,Switzerland
ANTO,ANTOFAGASTA PLC,Materials,34822291.35,0.06806,1235858,GB0000456144,United Kingdom
BAER,JULIUS BAER GRUPPE AG,Financials,34803504.64,0.06803,655738,CH0102484968,Switzerland
2503,KIRIN HOLDINGS LTD,Consumer Staples,34783981.89,0.06799,2434800,JP3258000003,Japan
XRO,XERO LTD,Information Technology,34741125.64,0.06791,453216,NZXROE0001S2,Australia
BNR,BRENNTAG,Industrials,34705789.83,0.06784,431401,DE000A1DAHH0,Germany
P911,DR ING HC F PORSCHE PRF AG,Consumer Discretionary,34262736.91,0.06697,356881,DE000PAG9113,Germany
ORG,ORIGIN ENERGY LTD,Utilities,34208609.15,0.06686,5408799,AU000000ORG5,Australia
POLI,BANK HAPOALIM BM,Financials,34193786.87,0.06684,3976207,IL0006625771,Israel
TRN,TERNA RETE ELETTRICA NAZIONALE,Utilities,34186955.52,0.06682,4415615,IT0003242622,Italy
2388,BOC HONG KONG HOLDINGS LTD,Financials,33836398.92,0.06614,11597000,HK2388011192,Hong Kong
9503,KANSAI ELECTRIC POWER INC,Utilities,33149228.78,0.06479,2206500,JP3228600007,Japan
SCG,SCENTRE GROUP,Real Estate,33016561.08,0.06453,16290718,AU000000SCG8,Australia
4911,SHISEIDO LTD,Consumer Staples,32949761.03,0.0644,1255200,JP3351600006,Japan
SN.,SMITH AND NEPHEW PLC,Health Care,32925728.83,0.06436,2736443,GB0009223206,United Kingdom
ORSTED,OERSTED,Utilities,32924459.4,0.06435,592078,DK0060094928,Denmark
MRO,MELROSE INDUSTRIES PLC,Industrials,32899739.46,0.06431,4192047,GB00BNGDN821,United Kingdom
ABF,ASSOCIATED BRITISH FOODS PLC,Consumer Staples,32799436.62,0.06411,1079216,GB0006731235,United Kingdom
HLMA,HALMA PLC,Information Technology,32576760.84,0.06367,1189797,GB0004052071,United Kingdom
WPP,WPP PLC,Communication,32299380.03,0.06313,3364358,JE00B8KF9B49,United Kingdom
8830,SUMITOMO REALTY & DEVELOPMENT LTD,Real Estate,32022802.26,0.06259,894100,JP3409000001,Japan
1COV,COVESTRO AG,Materials,31937993.07,0.06243,600065,DE0006062144,Germany
823,LINK REAL ESTATE INVESTMENT TRUST,Real Estate,31884161.19,0.06232,8067929,HK0823032773,Hong Kong
HEIO,HEINEKEN HOLDING NV,Consumer Staples,31868317.67,0.06229,407464,NL0000008977,Netherlands
CPU,COMPUTERSHARE LTD,Industrials,31834153.15,0.06222,1770233,AU000000CPU5,Australia
EXO,EXOR NV,Financials,31724614.82,0.06201,293330,NL0012059018,Netherlands
SCHP,SCHINDLER HOLDING PAR AG,Industrials,31610465.52,0.06179,127801,CH0024638196,Switzerland
HM B,HENNES & MAURITZ,Consumer Discretionary,31598609.96,0.06176,2028336,SE0000106270,Sweden
9501,TOKYO ELECTRIC POWER HOLDINGS INC,Utilities,31468627.32,0.06151,4784500,JP3585800000,Japan
9104,MITSUI OSK LINES LTD,Industrials,31396943.57,0.06137,1069800,JP3362700001,Japan
RNO,RENAULT SA,Consumer Discretionary,31295166.78,0.06117,601597,FR0000131906,France
CYBR,CYBER ARK SOFTWARE LTD,Information Technology,31082024.82,0.06075,131098,IL0011334468,Israel
EQT,EQT,Financials,31018244.93,0.06063,1171892,SE0012853455,Sweden
IAG,INSURANCE AUSTRALIA GROUP LTD,Financials,31013166.73,0.06062,7496423,AU000000IAG3,Australia
ENR,SIEMENS ENERGY N AG,Industrials,30960921.13,0.06052,1628259,DE000ENER6Y0,Germany
CA,CARREFOUR SA,Consumer Staples,30778515.31,0.06016,1838059,FR0000120172,France
4307,NOMURA RESEARCH INSTITUTE LTD,Information Technology,30671133.5,0.05995,1207671,JP3762800005,Japan
WTC,WISETECH GLOBAL LTD,Information Technology,30544178.71,0.0597,523350,AU000000WTC3,Australia
S32,SOUTH32 LTD,Materials,30113566.98,0.05886,14226080,AU000000S320,Australia
ITRK,INTERTEK GROUP PLC,Industrials,30073318.02,0.05878,498227,GB0031638363,United Kingdom
4684,OBIC LTD,Information Technology,29916507.68,0.05848,218200,JP3173400007,Japan
TLS,TELSTRA GROUP LTD,Communication,29887224.57,0.05842,12657224,AU000000TLS2,Australia
27,GALAXY ENTERTAINMENT GROUP LTD,Consumer Discretionary,29760679.56,0.05817,6845000,HK0027032686,Hong Kong
4523,EISAI LTD,Health Care,29755602.26,0.05816,790000,JP3160400002,Japan
7735,SCREEN HOLDINGS LTD,Information Technology,29733500.4,0.05812,254500,JP3494600004,Japan
9531,TOKYO GAS LTD,Utilities,29700474.05,0.05805,1207900,JP3573000001,Japan
8601,DAIWA SECURITIES GROUP INC,Financials,29642627.0,0.05794,4174400,JP3502200003,Japan
6506,YASKAWA ELECTRIC CORP,Industrials,29615619.73,0.05789,751200,JP3932000007,Japan
URW,UNIBAIL RODAMCO WE STAPLED UNITS,Real Estate,29589841.36,0.05784,370854,FR0013326246,France
11,HANG SENG BANK LTD,Financials,29385144.7,0.05744,2399700,HK0011000095,Hong Kong
9613,NTT DATA GROUP CORP,Information Technology,29253737.88,0.05718,1980455,JP3165700000,Japan
7532,PAN PACIFIC INTERNATIONAL HOLDINGS,Consumer Discretionary,29220077.61,0.05711,1193700,JP3639650005,Japan
IMCD,IMCD NV,Industrials,29172579.31,0.05702,178824,NL0010801007,Netherlands
FPH,FISHER AND PAYKEL HEALTHCARE CORPO,Health Care,28789940.44,0.05627,1834250,NZFAPE0001S2,New Zealand
SRG,SNAM,Utilities,28676478.78,0.05605,6332323,IT0003153415,Italy
FBK,FINECOBANK BANCA FINECO,Financials,28495598.04,0.0557,1917721,IT0000072170,Italy
CNA,CENTRICA PLC,Utilities,28223911.95,0.05517,17344555,GB00B033F229,United Kingdom
3407,ASAHI KASEI CORP,Materials,28211616.17,0.05514,3931700,JP3111200006,Japan
TEN,TENARIS SA,Energy,28179469.33,0.05508,1479907,LU2598331598,Italy
5411,JFE HOLDINGS INC,Materials,27906568.71,0.05455,1803575,JP3386030005,Japan
7201,NISSAN MOTOR LTD,Consumer Discretionary,27753332.26,0.05425,7528700,JP3672400003,Japan
BT/A,BT GROUP PLC,Communication,27700421.5,0.05414,21258242,GB0030913577,United Kingdom
ACS,ACS ACTIVIDADES DE CONSTRUCCION Y,Industrials,27625868.32,0.054,677283,ES0167050915,Spain
BOL,BOLIDEN,Materials,27365265.26,0.05349,857176,SE0020050417,Sweden
QIA,QIAGEN NV,Health Care,27352403.66,0.05346,693215,NL0015001WM6,Germany
ADM,ADMIRAL GROUP PLC,Financials,27250549.44,0.05326,807967,GB00B02J6398,United Kingdom
ERF,EUROFINS SCIENTIFIC,Health Care,27102635.74,0.05298,423358,FR0014000MR3,France
UU.,UNITED UTILITIES GROUP PLC,Utilities,27054913.06,0.05288,2134385,GB00B39J2M42,United Kingdom
AGN,AEGON LTD,Financials,27045214.83,0.05286,4543763,BMG0112X1056,Netherlands
2801,KIKKOMAN CORP,Consumer Staples,26959110.75,0.05269,2205000,JP3240400006,Japan
9021,WEST JAPAN RAILWAY,Industrials,26833606.47,0.05245,1374800,JP3659000008,Japan
